PERSON,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13
1150001,1,1,0,0,0,1,1,0,0,0,0,0,0
1150002,1,0,0,0,0,0,0,0,1,0,0,0,0
1150003,1,1,0,0,0,1,0,0,0,0,0,0,0
1150004,0,0,1,0,1,1,1,1,1,0,1,0,1
1150005,0,0,0,1,1,0,0,1,1,0,0,0,0
1150006,1,0,1,1,1,1,1,1,1,1,1,1,1
1150007,0,1,0,0,0,0,1,0,1,0,0,0,0
1150008,1,0,1,0,0,1,1,0,0,0,0,0,1
1150009,1,1,1,1,1,0,1,0,1,0,0,0,0
1150010,0,1,1,0,0,0,0,0,1,0,0,0,1
1150011,1,0,1,1,1,1,1,1,1,1,0,0,0
1150012,0,0,0,0,0,0,0,1,1,1,0,0,1
1150013,1,0,1,0,0,0,1,0,0,1,1,0,0
1150014,1,0,0,0,0,1,0,0,1,0,0,0,0
1150015,0,1,0,1,1,0,0,1,0,0,1,1,0
1150016,0,0,1,1,0,0,0,1,1,1,1,0,0
1150017,1,1,1,1,1,0,0,1,1,1,1,0,1
1150018,0,0,0,0,0,0,0,1,1,1,0,0,0
1150019,0,0,0,0,0,1,1,0,0,0,0,0,0
1150020,0,1,0,1,1,1,1,0,0,1,0,0,1
1150021,0,0,0,1,1,0,0,0,0,0,0,1,0
1150022,1,1,0,0,1,0,0,0,0,0,1,0,0
1150023,1,1,1,1,1,1,1,1,1,1,1,1,0
1150024,1,1,1,0,0,0,0,1,1,0,0,0,0
1150025,0,1,1,0,1,0,1,1,1,0,0,0,1
1150026,1,1,1,0,0,0,0,1,0,0,0,0,0
1150028,1,1,0,0,0,1,0,0,0,1,1,1,0
1150029,1,1,1,0,0,0,0,0,1,0,1,0,0
1150030,0,1,0,1,1,1,0,0,1,0,0,0,0
1150031,1,0,0,0,1,1,0,0,0,0,0,0,0
1150032,0,0,0,0,0,0,1,0,0,0,0,1,0
1150033,1,1,1,1,1,0,1,1,1,1,1,0,0
1150034,1,1,0,0,0,0,0,0,0,1,1,0,0
1150035,0,0,1,1,1,0,1,0,1,0,1,0,1
1150036,1,0,0,0,0,1,1,0,0,0,0,1,1
1150037,0,1,0,1,1,0,1,0,0,0,0,0,0
1150038,1,1,0,0,1,0,0,0,1,0,1,0,1
1150039,0,0,1,0,0,0,0,1,0,0,0,1,1
1150040,1,0,1,0,1,0,1,0,0,0,0,0,0
1150041,1,0,1,0,1,0,0,0,1,1,1,0,0
1150042,0,0,0,0,0,0,0,1,1,0,1,0,0
1150043,0,0,1,0,1,0,1,1,1,0,1,0,0
1150044,1,1,1,0,1,0,1,0,1,0,0,0,1
1150045,1,1,0,0,1,0,1,0,1,0,1,0,1
1150046,1,0,0,1,1,0,1,0,0,1,0,0,1
1150047,0,1,1,1,0,0,1,0,1,0,0,0,0
1150048,1,0,0,0,0,1,0,0,1,0,1,0,0
1150049,1,1,1,0,1,0,1,0,1,0,1,1,1
1150050,0,0,0,0,1,0,0,0,1,1,1,0,1
1150051,0,1,1,0,1,1,0,0,1,0,1,0,0
1150052,0,0,0,0,1,1,1,1,0,0,0,1,0
1150053,1,1,1,1,1,0,1,1,1,1,1,1,1
1150054,1,1,1,1,1,0,0,1,1,1,1,1,1
1150055,1,0,1,0,0,1,0,0,1,0,0,0,0
1150056,0,0,1,0,0,0,0,0,0,0,0,0,1
1150057,0,0,0,1,0,0,1,0,1,1,1,0,0
1150058,1,0,1,0,1,1,0,0,1,0,0,0,0
1150059,0,1,0,1,0,0,1,0,1,0,1,1,0
1150060,0,1,0,1,0,0,0,1,1,1,0,0,0
1150061,1,0,0,0,1,0,0,0,0,0,1,0,1
1150062,1,1,1,0,0,0,0,1,1,1,0,1,1
1150063,1,0,1,0,1,1,1,1,1,1,1,0,1
1150064,1,0,0,0,1,1,0,1,1,1,0,1,0
1150065,1,1,1,0,1,0,1,0,1,0,1,0,1
1150066,0,1,1,1,0,1,0,0,1,0,0,0,0
1150067,1,1,1,0,1,1,0,0,0,0,0,0,1
1150068,1,1,1,0,0,0,0,1,1,0,1,0,0
1150069,1,0,1,0,1,0,0,0,0,1,0,1,0
1150070,1,1,0,1,1,0,1,0,0,1,1,0,0
1150071,1,1,0,1,0,0,1,0,0,0,1,0,0
1150072,1,0,0,0,0,0,1,0,0,1,1,0,0
1150073,1,0,1,0,1,0,0,0,1,0,0,0,1
1150074,1,0,0,1,1,1,0,1,0,0,0,1,1
1150075,1,1,1,1,1,0,0,0,0,1,0,1,0
1150076,0,1,0,0,0,1,0,0,0,1,1,0,0
1150077,1,1,1,1,0,0,0,1,1,0,1,0,1
1150078,0,1,1,0,1,0,1,1,0,0,1,0,0
1150079,1,0,1,1,1,0,0,0,0,1,0,1,0
1150080,0,1,1,1,1,1,1,0,1,0,0,1,1
1150081,0,1,1,0,1,0,0,0,0,0,0,1,1
1150082,1,0,1,0,0,0,0,0,0,1,1,0,1
1150083,1,1,0,0,0,0,1,0,0,1,0,0,0
1150084,0,1,0,1,0,0,0,0,0,1,0,1,0
1150085,1,0,1,0,1,0,1,0,1,0,1,0,0
1150086,1,1,1,1,1,1,0,0,1,0,0,1,1
1150087,1,0,0,0,0,0,0,1,0,1,1,0,1
1150088,0,0,0,0,0,1,0,1,1,0,0,0,0
1150089,0,0,1,1,1,0,0,1,1,1,1,0,1
1150090,0,1,0,1,0,1,0,1,0,0,0,0,1
1150091,0,1,1,0,0,0,1,0,1,0,1,0,0
1150092,0,0,0,0,0,0,0,1,0,0,1,0,0
1150093,0,0,0,0,0,0,1,0,1,0,0,0,0
1150094,0,0,0,0,1,0,0,1,1,0,0,0,0
1150095,0,1,0,0,1,0,1,1,1,0,0,0,0
1150096,0,0,1,1,0,0,1,0,1,0,0,0,1
1150097,1,0,0,0,0,0,0,0,0,0,1,0,1
1150098,0,1,0,1,1,0,1,0,1,0,1,0,1
1150099,1,0,0,0,1,0,1,0,0,1,1,0,0
1150100,0,1,0,0,0,0,0,1,1,0,0,0,1
1150101,1,1,1,0,1,0,1,0,1,0,1,0,1
1150102,1,0,1,0,0,0,1,0,0,0,0,0,0
1150103,1,1,1,1,0,0,0,0,1,1,1,0,0
1150104,1,1,1,0,1,0,1,0,0,0,0,0,0
1150105,0,0,1,0,0,0,1,0,1,0,0,0,0
1150106,0,0,0,0,1,1,0,0,0,1,1,0,0
1150107,0,0,0,0,0,0,0,1,0,0,1,0,0
1150108,0,0,1,0,0,0,1,1,1,1,0,1,0
1150109,0,0,1,0,0,0,1,1,1,1,0,1,0
1150110,1,0,1,1,1,1,0,1,0,1,0,0,0
1150111,1,0,0,0,0,0,0,0,1,1,1,1,0
1150112,1,0,1,0,1,1,1,0,1,0,0,0,1
1150113,1,0,1,0,1,1,1,0,0,0,0,0,0
1150114,0,0,1,0,1,0,0,0,1,0,0,0,0
1150115,0,0,0,0,0,0,0,0,0,0,0,1,0
1150116,0,0,1,0,0,0,0,1,0,0,0,0,0
1150117,1,1,1,0,1,0,0,0,1,1,1,1,1
1150118,0,0,1,0,1,0,0,0,1,0,0,0,1
1150119,1,0,0,1,0,1,0,0,1,1,1,0,1
1150120,1,1,0,0,1,0,0,0,1,0,0,0,0
1150121,0,1,0,1,1,0,0,1,0,0,0,0,0
1150122,1,1,0,1,0,0,0,0,1,0,1,1,0
1150123,1,0,0,0,0,0,0,0,0,1,0,1,1
1150124,0,1,0,0,1,0,0,1,0,0,1,0,0
1150125,1,0,0,0,1,1,0,0,1,0,0,0,0
1150126,0,0,0,1,1,0,0,0,1,1,1,0,0
1150127,0,1,0,1,0,0,1,0,0,1,0,0,0
1150128,0,0,0,0,1,0,0,0,1,0,0,0,0
1150129,0,1,0,0,1,0,1,0,1,0,0,0,0
1150130,0,1,0,0,0,0,0,0,1,1,0,0,1
1150131,1,0,0,0,0,1,0,0,0,0,1,0,0
1150132,1,1,1,0,0,0,1,0,1,0,0,0,0
1160001,1,1,0,0,0,0,0,0,1,1,1,1,0
1160002,0,1,1,1,1,0,0,0,1,1,1,0,0
1160003,0,0,0,0,0,0,1,0,1,1,1,0,1
1160004,1,1,1,1,0,0,0,0,1,1,0,0,1
1160005,1,1,1,1,1,0,1,1,1,1,0,0,1
1160006,0,0,1,0,0,0,0,0,1,1,0,0,1
1160007,1,1,1,1,1,0,1,0,1,1,1,0,1
1160008,1,1,1,0,1,1,1,1,1,0,0,1,1
1160009,1,0,0,0,1,1,0,0,1,1,0,0,0
1160010,1,0,1,1,0,1,0,0,1,1,1,0,1
1160011,1,1,1,0,1,1,1,1,1,0,1,0,0
1160012,0,1,1,0,1,0,1,0,1,1,0,0,0
1160013,1,1,1,0,1,1,1,0,1,0,1,0,0
1160014,0,0,1,0,1,0,0,0,0,0,0,0,0
1160015,1,1,1,1,1,1,1,0,1,1,1,0,1
1160016,0,0,0,1,1,0,0,0,0,0,1,0,0
1160017,1,1,1,1,0,1,0,0,1,0,1,0,0
1160018,1,1,1,1,1,1,1,0,1,0,1,0,1
1160019,1,1,0,1,1,0,1,1,1,1,0,0,1
1160020,1,1,1,0,1,0,1,0,1,0,1,1,1
1160021,0,1,1,0,1,0,1,0,1,1,1,0,0
1160022,1,1,1,0,1,0,0,0,1,1,1,0,0
1160023,1,0,1,1,1,0,0,0,1,1,1,0,0
1160024,1,0,1,1,0,1,0,0,1,1,1,0,0
1160025,1,0,0,1,0,0,0,0,1,1,1,0,0
1160026,1,1,1,0,1,0,0,1,1,1,1,0,0
1160027,1,1,0,1,1,0,0,1,1,1,0,1,0
1160028,1,0,1,0,0,0,0,0,1,1,0,0,1
1160029,1,0,1,0,1,0,0,1,1,0,1,0,0
1160030,1,1,1,0,1,0,0,1,0,0,0,1,0
1160031,1,0,1,1,0,0,0,0,1,0,1,1,1
1160032,1,0,1,1,1,1,1,1,1,0,1,1,1
1160033,1,1,1,1,0,0,1,0,1,1,1,0,1
1160034,1,1,1,0,1,0,1,1,1,1,1,0,0
1160035,1,0,0,1,1,1,1,1,1,0,0,1,1
1160036,1,0,1,0,1,0,1,0,1,0,1,0,0
1160037,1,1,1,1,1,1,0,1,1,1,0,0,1
1160038,1,1,0,1,1,0,0,0,1,1,1,0,0
1160039,0,1,1,1,0,1,0,0,1,0,1,0,0
1160040,1,1,1,0,1,1,1,0,0,0,0,1,0
1160041,0,1,0,0,1,0,1,1,1,0,1,0,0
1160042,1,1,1,1,0,0,0,0,1,1,0,0,1
1160043,1,1,0,0,1,1,1,1,1,1,1,1,1
1160044,1,0,1,0,1,0,0,1,1,1,1,1,0
1160045,0,0,0,1,0,1,1,1,1,1,1,1,1
1160046,1,1,0,0,1,0,0,0,1,1,0,1,0
1160047,1,0,1,0,0,0,1,1,1,1,0,0,0
1160048,0,0,0,0,0,1,1,0,1,1,0,0,0
1160049,1,1,1,1,1,1,0,0,1,1,0,0,1
1160050,0,0,0,1,0,1,0,0,0,1,0,0,1
1160051,1,0,1,1,1,0,1,0,0,1,0,1,1
1160052,1,0,1,1,1,0,1,1,1,1,0,0,0
1160053,1,1,1,1,0,0,1,0,1,0,1,1,1
1160054,0,1,0,1,0,1,0,0,0,0,0,0,0
1160055,1,0,0,1,0,0,0,0,1,1,0,0,1
1160056,1,1,1,0,1,0,1,1,1,0,0,0,0
1160057,0,0,1,1,1,0,1,1,1,1,1,1,0
1160058,1,1,0,1,0,0,0,0,1,1,0,0,0
1160059,1,0,0,0,0,0,0,1,1,1,1,0,1
1160060,0,0,1,0,0,0,0,0,1,1,1,0,1
1160061,1,1,1,1,1,0,1,1,1,1,0,1,1
1160062,1,1,1,0,1,0,0,1,1,1,1,0,0
1160063,1,1,1,1,1,1,1,0,1,1,1,0,1
1160064,1,0,1,1,0,0,0,0,1,0,1,1,0
1160065,1,1,1,1,0,0,0,0,1,1,1,1,0
1160066,1,1,1,1,1,0,1,1,1,1,0,0,0
1160067,0,0,1,1,0,1,1,0,1,1,1,1,1
1160068,1,1,1,1,1,0,1,1,1,1,1,1,0
1160069,1,1,1,0,1,0,1,0,1,0,1,0,1
1160070,0,0,1,0,1,0,0,0,1,1,0,0,1
1160071,1,1,1,1,1,0,1,0,1,0,0,0,0
1160072,1,1,0,0,1,0,0,0,1,0,0,1,1
1160073,1,0,1,1,1,0,1,0,1,1,1,0,1
1160074,0,0,1,1,1,0,1,1,1,1,1,0,1
1160075,1,0,1,0,1,0,1,0,1,0,1,0,0
1160076,1,1,1,1,1,0,0,1,1,1,1,0,1
1160077,1,0,0,0,0,0,0,0,1,0,0,0,0
1160078,1,1,1,1,1,0,1,1,1,1,0,0,1
1160079,1,1,1,1,1,1,1,0,1,1,1,0,1
1160080,0,0,0,1,0,0,0,1,0,0,0,0,0
1160081,1,1,1,1,0,1,1,1,1,1,0,0,1
1160082,0,1,0,1,1,1,1,0,0,1,0,1,1
1160083,1,1,1,0,0,0,1,1,1,1,1,1,1
1160084,1,1,1,1,0,0,1,0,1,1,0,0,1
1160085,0,0,0,0,1,0,0,0,1,0,0,0,0
1160086,1,0,0,1,1,1,0,1,0,1,0,0,1
1160087,1,1,1,1,0,0,1,0,1,1,1,1,1
1160088,1,0,0,1,1,1,0,1,1,1,0,0,0
1160089,0,1,0,0,0,0,0,0,0,0,0,1,1
1160090,1,0,0,0,1,1,0,1,0,0,0,0,1
1160091,1,0,0,0,0,0,0,1,0,0,0,0,1
1160092,1,1,0,1,1,0,1,0,1,0,0,0,1
1160093,1,0,0,1,0,0,0,0,0,1,0,1,1
1160094,1,0,0,0,0,0,1,0,0,0,0,1,0
1160095,1,0,0,0,1,1,0,0,1,0,0,0,0
1160096,1,1,1,0,1,0,1,0,1,1,1,0,1
1160097,0,0,1,1,0,0,0,0,0,0,0,1,1
1160098,1,1,1,0,0,0,0,0,1,0,1,0,0
1160099,1,0,0,0,0,0,0,0,1,1,0,0,1
1160100,1,1,0,0,0,0,0,0,1,0,1,0,0
1160101,1,0,1,1,1,0,0,0,1,1,0,1,0
1160102,1,0,0,0,1,1,0,1,1,0,0,0,1
1160103,1,0,0,1,1,0,0,0,1,1,1,1,1
1160104,1,0,1,1,1,0,1,1,1,1,0,0,1
1160105,1,1,1,1,1,0,1,0,1,1,1,0,0
1160106,0,0,0,0,1,1,0,0,0,1,0,0,1
1160107,0,0,1,1,0,1,0,1,1,0,1,0,0
1160108,0,1,1,1,1,1,1,0,1,1,0,0,1
1160109,0,0,0,0,0,1,1,0,0,0,0,0,1
1160110,1,0,0,0,0,0,0,0,1,1,0,0,1
1160111,1,1,1,1,1,0,0,0,1,0,1,0,1
1160112,1,0,0,1,1,0,0,0,1,0,0,1,1
1160113,1,0,0,1,1,1,1,1,1,1,1,0,0
1160114,1,1,0,0,0,0,1,0,1,1,0,0,1
1160115,1,0,0,0,1,0,1,0,1,0,1,1,1
1160116,1,0,0,1,0,0,1,1,1,1,1,0,1
1160117,1,0,1,1,0,0,0,0,0,0,0,0,0
1160118,1,1,1,1,1,0,0,1,1,0,0,0,1
1160119,1,0,0,1,1,0,0,1,1,1,1,0,0
1160120,1,1,1,1,1,0,0,1,0,0,1,0,1
1160121,1,1,0,1,1,0,1,0,0,0,0,0,0
1160122,1,1,1,1,1,0,1,0,1,1,1,0,0
1160123,1,0,0,1,1,0,0,0,1,0,0,0,1
1160124,1,0,0,1,1,0,0,0,0,0,0,0,1
1160125,1,1,1,0,0,0,0,0,1,1,0,0,0
1160126,1,1,1,1,1,0,0,1,1,1,1,0,0
1160127,1,0,0,0,1,1,0,0,0,0,0,0,0
1160128,0,1,1,1,1,0,0,0,1,0,0,0,1
1160129,1,0,0,0,0,0,0,0,0,1,0,0,1
1160130,0,1,0,1,0,0,0,0,1,1,1,0,0
1160131,0,0,1,1,0,0,1,0,1,0,1,0,1
1160132,1,0,1,1,1,0,0,1,1,0,0,0,0
1160133,1,1,1,1,1,0,1,1,1,1,0,0,1
1160134,1,1,1,0,1,1,0,1,1,0,0,0,0
1160135,1,0,1,1,1,0,1,1,1,1,1,1,0
1160136,1,0,0,1,0,0,0,0,1,0,0,1,1
1160137,0,0,0,1,1,0,0,0,1,1,1,1,1
1160138,1,0,1,1,1,0,0,0,1,1,1,0,1
1160139,1,1,1,0,0,0,1,0,1,0,1,1,1
1160140,1,1,1,1,1,0,1,0,1,1,1,0,1
1160141,1,1,0,0,1,0,1,0,1,0,0,0,0
1160142,1,1,1,1,1,0,1,0,1,1,1,0,1
1160143,1,0,0,0,1,0,1,0,0,0,0,0,0
1160144,1,0,1,0,0,0,1,0,1,1,0,0,0
1160145,1,1,1,1,1,1,1,0,1,1,1,1,0
1160146,0,0,0,0,0,0,0,0,1,1,0,0,1
1160147,1,0,0,1,1,0,0,1,0,0,0,0,0
